Chip	BrainArrayName	pdName	dbName
cyrgene11st	cyrgene11st_MAmu_ENTREZG	cyrgene11st.mamu.entrezg	cyrgene11stmamuentrezg
mafacyrgene10st	mafacyrgene10st_MAmu_ENTREZG	mafacyrgene10st.mamu.entrezg	mafacyrgene10stmamuentrezg
mafacyrgene11st	mafacyrgene11st_MAmu_ENTREZG	mafacyrgene11st.mamu.entrezg	mafacyrgene11stmamuentrezg
ClariomDMouse	ClariomDMouse_Mm_ENTREZG	clariomdmouse.mm.entrezg	clariomdmousemmentrezg
ClariomSMouse	ClariomSMouse_Mm_ENTREZG	clariomsmouse.mm.entrezg	clariomsmousemmentrezg
ClariomSMouseHT	ClariomSMouseHT_Mm_ENTREZG	clariomsmouseht.mm.entrezg	clariomsmousehtmmentrezg
HTMG430A	HTMG430A_Mm_ENTREZG	htmg430a.mm.entrezg	htmg430ammentrezg
HTMG430B	HTMG430B_Mm_ENTREZG	htmg430b.mm.entrezg	htmg430bmmentrezg
HTMG430PM	HTMG430PM_Mm_ENTREZG	htmg430pm.mm.entrezg	htmg430pmmmentrezg
MGU74A	MGU74A_Mm_ENTREZG	mgu74a.mm.entrezg	mgu74ammentrezg
MGU74Av2	MGU74Av2_Mm_ENTREZG	mgu74av2.mm.entrezg	mgu74av2mmentrezg
MGU74Bv2	MGU74Bv2_Mm_ENTREZG	mgu74bv2.mm.entrezg	mgu74bv2mmentrezg
MGU74Cv2	MGU74Cv2_Mm_ENTREZG	mgu74cv2.mm.entrezg	mgu74cv2mmentrezg
MOE430A	MOE430A_Mm_ENTREZG	moe430a.mm.entrezg	moe430ammentrezg
MOE430B	MOE430B_Mm_ENTREZG	moe430b.mm.entrezg	moe430bmmentrezg
Mouse4302	Mouse4302_Mm_ENTREZG	mouse4302.mm.entrezg	mouse4302mmentrezg
Mouse430A2	Mouse430A2_Mm_ENTREZG	mouse430a2.mm.entrezg	mouse430a2mmentrezg
Mu11KsubA	Mu11KsubA_Mm_ENTREZG	mu11ksuba.mm.entrezg	mu11ksubammentrezg
Mu11KsubB	Mu11KsubB_Mm_ENTREZG	mu11ksubb.mm.entrezg	mu11ksubbmmentrezg
NuGOMm1a520177	NuGOMm1a520177_Mm_ENTREZG	nugomm1a520177.mm.entrezg	nugomm1a520177mmentrezg
chogene20st	chogene20st_Mm_ENTREZG	chogene20st.mm.entrezg	chogene20stmmentrezg
chogene21st	chogene21st_Mm_ENTREZG	chogene21st.mm.entrezg	chogene21stmmentrezg
